URL,PageType,TargetIntent,PrimaryKeyword,Title,H1,MetaDescription,Canonical,Schema,InternalLinks,Indexability
https://bafurni.com/danh-muc/ghe-luoi-phong-hop,LANDING,PRIMARY CATEGORY INTENT,ghế lưới phòng họp,Ghế lưới phòng họp GL4xx The One: 24 mẫu | BA_Furniture,Chọn ghế lưới phòng họp theo đúng không gian.,"So sánh 24 mẫu ghế lưới phòng họp GL4xx The One theo Code, kích thước, vật liệu, cấu tạo và giá tham khảo ProductDB trước khi nhận báo giá.",https://bafurni.com/danh-muc/ghe-luoi-phong-hop,CollectionPage | BreadcrumbList | FAQPage,/danh-muc/ghe-van-phong | /danh-muc/ghe-hop-chan-quy | /danh-muc/ghe-luoi-lung-cao | 24 product routes,"INDEX, FOLLOW; server-delivered HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl401,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL401,Ghế Họp Tựa Lưới The One GL401 | BA_Furniture,Ghế Họp Tựa Lưới The One GL401,"Ghế Họp Tựa Lưới The One GL401. Khung chân quỳ thép mạ oval, tựa lưới và đệm rời bọc lưới.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl401,Product (SKU GL401) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl430 | /san-pham/ghe-luoi-phong-hop/gl402tb | /san-pham/ghe-luoi-phong-hop/gl402xb,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402tb,PRODUCT,PRODUCT-CODE INTENT,Ghế Hội Thảo Có Bàn The One GL402TB,Ghế Hội Thảo Có Bàn The One GL402TB | BA_Furniture,Ghế Hội Thảo Có Bàn The One GL402TB,"Ghế Hội Thảo Có Bàn The One GL402TB. Có bàn viết nhựa; kết cấu gấp gọn, xếp lồng và chân tĩnh sơn hoặc mạ.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402tb,Product (SKU GL402TB) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl401 | /san-pham/ghe-luoi-phong-hop/gl402xb | /san-pham/ghe-luoi-phong-hop/gl403,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402xb,PRODUCT,PRODUCT-CODE INTENT,Ghế Hội Thảo Có Bàn The One GL402XB,Ghế Hội Thảo Có Bàn The One GL402XB | BA_Furniture,Ghế Hội Thảo Có Bàn The One GL402XB,Ghế Hội Thảo Có Bàn The One GL402XB. Có bàn viết nhựa và bánh xe; phù hợp cấu hình hội thảo linh hoạt.,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402xb,Product (SKU GL402XB) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl402tb | /san-pham/ghe-luoi-phong-hop/gl403 | /san-pham/ghe-luoi-phong-hop/gl404,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl403,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL403,Ghế Họp Tựa Lưới The One GL403 | BA_Furniture,Ghế Họp Tựa Lưới The One GL403,Ghế Họp Tựa Lưới The One GL403. Khung chân quỳ thép mạ với đệm tựa liền bọc lưới chịu lực.,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl403,Product (SKU GL403) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl402xb | /san-pham/ghe-luoi-phong-hop/gl404 | /san-pham/ghe-luoi-phong-hop/gl404b,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL404,Ghế Họp Tựa Lưới The One GL404 | BA_Furniture,Ghế Họp Tựa Lưới The One GL404,"Ghế Họp Tựa Lưới The One GL404. Dáng chân tĩnh gọn, tựa nhựa bọc lưới và chân thép sơn.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404,Product (SKU GL404) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl403 | /san-pham/ghe-luoi-phong-hop/gl404b | /san-pham/ghe-luoi-phong-hop/gl405,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404b,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Liền Bàn The One GL404B,Ghế Họp Liền Bàn The One GL404B | BA_Furniture,Ghế Họp Liền Bàn The One GL404B,Ghế Họp Liền Bàn The One GL404B. Ghế chân tĩnh có bàn viết nhựa gấp gọn; dữ liệu lấy từ catalog chính thức lưu trữ.,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404b,Product (SKU GL404B) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl404 | /san-pham/ghe-luoi-phong-hop/gl405 | /san-pham/ghe-luoi-phong-hop/gl406,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl405,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL405,Ghế Họp Tựa Lưới The One GL405 | BA_Furniture,Ghế Họp Tựa Lưới The One GL405,"Ghế Họp Tựa Lưới The One GL405. Dáng không tay, khung thép mạ và bề mặt lưới.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl405,Product (SKU GL405) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl404b | /san-pham/ghe-luoi-phong-hop/gl406 | /san-pham/ghe-luoi-phong-hop/gl410,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl406,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Chân Quỳ The One GL406,Ghế Họp Chân Quỳ The One GL406 | BA_Furniture,Ghế Họp Chân Quỳ The One GL406,"Ghế Họp Chân Quỳ The One GL406. Khung chân quỳ thép mạ, đệm tựa liền bọc da công nghiệp.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl406,Product (SKU GL406) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl405 | /san-pham/ghe-luoi-phong-hop/gl410 | /san-pham/ghe-luoi-phong-hop/gl411,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl410,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL410,Ghế Họp Tựa Lưới The One GL410 | BA_Furniture,Ghế Họp Tựa Lưới The One GL410,"Ghế Họp Tựa Lưới The One GL410. Dáng chân quỳ, khung thép mạ, tựa lưới chịu lực và đệm rời.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl410,Product (SKU GL410) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl406 | /san-pham/ghe-luoi-phong-hop/gl411 | /san-pham/ghe-luoi-phong-hop/gl412,"INDEX, FOLLOW; server-delivered unique HTML"
https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl411,PRODUCT,PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL411,Ghế Họp Tựa Lưới The One GL411 | BA_Furniture,Ghế Họp Tựa Lưới The One GL411,"Ghế Họp Tựa Lưới The One GL411. Lưng cao, khung chân quỳ thép mạ và đệm tựa bọc lưới.",https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl411,Product (SKU GL411) | BreadcrumbList,/danh-muc/ghe-luoi-phong-hop | /san-pham/ghe-luoi-phong-hop/gl410 | /san-pham/ghe-luoi-phong-hop/gl412 | /san-pham/ghe-luoi-phong-hop/gl417,"INDEX, FOLLOW; server-delivered unique HTML"
