"Code","Field","PublishedValue","Provenance","SourceReference","SourceTimestamp","PublishAsOfficial","Note"
"TQ01","code","TQ01","PORTAL_SOURCE","productdb-data.part1.js","2026-07-20T08:40:09+07:00","YES","Official page corroborates the code."
"TQ01","published_name","Ghế giám đốc The One TQ01","BA_FURNITURE_EDITORIAL","executive-chair-theone-data.js","2026-08-08T15:18:48+07:00","NO","Normalized public display name; not a verbatim supplier title."
"TQ01","supplier","The One","OFFICIAL_SOURCE","https://theone.vn/san-pham/ghe-tq01","2026-08-08T15:18:48+07:00","YES","Supplier identity published on official product page."
"TQ01","category","Office Chair","PORTAL_SOURCE","productdb-data.part1.js","2026-07-20T08:40:09+07:00","YES","Portal taxonomy OFFICE_CHAIR; official page corroborates office-chair category."
"TQ01","subcategory","Executive Chair","BA_FURNITURE_EDITORIAL","PACKAGE_EXECUTIVE_CHAIR_THEONE/manifest.json","2026-08-08T15:20:05+07:00","NO","BA_Furniture package taxonomy."
"TQ01","price","5907000","PORTAL_SOURCE","productdb-data.part1.js","2026-07-20T08:40:09+07:00","PRODUCTDB_REFERENCE_ONLY","May differ from current supplier listing; final quote depends on configuration and time."
"TQ01","source_image_url","https://theone.vn/wp-content/uploads/2020/08/TQ01-1.jpg","OFFICIAL_SOURCE","PACKAGE_EXECUTIVE_CHAIR_THEONE/images/SOURCE_IMAGE_AUDIT.csv","2026-08-08T15:20:05+07:00","YES","Exact-code source image."
"TQ01","local_image_gallery","/assets/products/approved/TQ01.webp","BA_FURNITURE_EDITORIAL","PACKAGE_EXECUTIVE_CHAIR_THEONE/images/SOURCE_IMAGE_AUDIT.csv","2026-08-08T15:20:05+07:00","NO","Approved local derivative; one clean image only and no added product detail."
"TQ01","dimensions","W680 × D810 × H1155–1210 mm","OFFICIAL_SOURCE","https://theone.vn/san-pham/ghe-tq01","2026-08-08T15:18:48+07:00","YES","Normalized W × D × H notation."
"TQ01","material","Da thật, da công nghiệp hoặc PVC; chân thép ốp gỗ; tay gỗ tự nhiên","OFFICIAL_SOURCE","https://theone.vn/san-pham/ghe-tq01","2026-08-08T15:18:48+07:00","YES","Normalized wording from official specification."
