ClusterType,PrimaryKeyword,SupportingKeywords,SearchIntent,TargetURL,ContentRole,Notes
PRIMARY CATEGORY INTENT,ghế lưới phòng họp,ghế phòng họp lưới | ghế họp lưới The One,Commercial investigation,https://bafurni.com/danh-muc/ghe-luoi-phong-hop,Landing category,Primary cluster; buyer-first comparison and quote intent
SECONDARY INTENT,ghế họp The One,ghế phòng họp The One | ghế họp GL4xx,Commercial investigation,https://bafurni.com/danh-muc/ghe-luoi-phong-hop,Landing category,Brand plus category
SECONDARY INTENT,ghế hội thảo có bàn,ghế hội thảo bàn viết | ghế đào tạo có bàn,Commercial investigation,https://bafurni.com/danh-muc/ghe-luoi-phong-hop,Comparison and buying guide,"Supported by GL402TB, GL402XB, GL404B, GL424B"
SECONDARY INTENT,ghế hội thảo gấp gọn,ghế hội thảo xếp lồng | ghế phòng đào tạo gấp gọn,Commercial investigation,https://bafurni.com/danh-muc/ghe-luoi-phong-hop,Comparison and buying guide,"Supported by GL402TB, GL402XB, GL424, GL424B"
LONG-TAIL BUYING INTENT,cách chọn ghế lưới phòng họp,kích thước ghế phòng họp | chọn ghế họp chân quỳ hay chân tĩnh,Informational to commercial,https://bafurni.com/danh-muc/ghe-luoi-phong-hop#gl4xx-buying-title,Buying guide,No location modifiers
LONG-TAIL BUYING INTENT,so sánh ghế phòng họp GL4xx,mẫu ghế GL4xx The One | ghế họp theo kích thước,Commercial investigation,https://bafurni.com/danh-muc/ghe-luoi-phong-hop#gl4xx-compare-title,Comparison,Code and source-backed differences only
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL401,GL401 | GL401 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl401,Product detail,"Khung chân quỳ thép mạ oval, tựa lưới và đệm rời bọc lưới."
PRODUCT-CODE INTENT,Ghế Hội Thảo Có Bàn The One GL402TB,GL402TB | GL402TB The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402tb,Product detail,"Có bàn viết nhựa; kết cấu gấp gọn, xếp lồng và chân tĩnh sơn hoặc mạ."
PRODUCT-CODE INTENT,Ghế Hội Thảo Có Bàn The One GL402XB,GL402XB | GL402XB The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl402xb,Product detail,Có bàn viết nhựa và bánh xe; phù hợp cấu hình hội thảo linh hoạt.
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL403,GL403 | GL403 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl403,Product detail,Khung chân quỳ thép mạ với đệm tựa liền bọc lưới chịu lực.
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL404,GL404 | GL404 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404,Product detail,"Dáng chân tĩnh gọn, tựa nhựa bọc lưới và chân thép sơn."
PRODUCT-CODE INTENT,Ghế Họp Liền Bàn The One GL404B,GL404B | GL404B The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl404b,Product detail,Ghế chân tĩnh có bàn viết nhựa gấp gọn; dữ liệu lấy từ catalog chính thức lưu trữ.
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL405,GL405 | GL405 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl405,Product detail,"Dáng không tay, khung thép mạ và bề mặt lưới."
PRODUCT-CODE INTENT,Ghế Họp Chân Quỳ The One GL406,GL406 | GL406 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl406,Product detail,"Khung chân quỳ thép mạ, đệm tựa liền bọc da công nghiệp."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL410,GL410 | GL410 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl410,Product detail,"Dáng chân quỳ, khung thép mạ, tựa lưới chịu lực và đệm rời."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL411,GL411 | GL411 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl411,Product detail,"Lưng cao, khung chân quỳ thép mạ và đệm tựa bọc lưới."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL412,GL412 | GL412 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl412,Product detail,"Tựa nhựa thoáng, tay nhựa và khung chân quỳ thép sơn."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL417,GL417 | GL417 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl417,Product detail,"Dáng không tay, khung thép sơn hoặc mạ và tựa nhựa bọc lưới."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL418,GL418 | GL418 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl418,Product detail,Khung lưng và tay nhựa liền khối trên chân quỳ thép sơn hoặc mạ.
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL419,GL419 | GL419 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl419,Product detail,"Dáng chân quỳ có tay ốp nhựa, tựa nhựa bọc lưới và khung thép mạ."
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL420,GL420 | GL420 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl420,Product detail,Dáng chân tĩnh không tay với khung thép sơn hoặc mạ.
PRODUCT-CODE INTENT,Ghế Họp Tựa Lưới The One GL421,GL421 | GL421 The One,Product lookup / commercial,https://bafurni.com/san-pham/ghe-luoi-phong-hop/gl421,Product detail,"Dáng chân quỳ tay liền, khung thép sơn hoặc mạ và tựa lưới."
